2022-08-16 15:07:16,695 [9] INFO WindowsFormsApplication1.StartPoint - [Started Application]
2022-08-16 15:07:21,373 [12] INFO Instagram.Main.InstagramMain - [start] instagram
2022-08-16 15:07:21,514 [12] INFO Instagram.Main.InstagramMain - [mid]: YvRhqgALAAE5ZpODXEyw15-1WdTS
2022-08-16 15:07:21,515 [12] INFO Instagram.Main.InstagramMain - [ig_did]: D9805394-4F37-49DB-A468-6C2940B4CC54
2022-08-16 15:07:21,515 [12] INFO Instagram.Main.InstagramMain - [ig_nrcb]: 1
2022-08-16 15:07:21,515 [12] INFO Instagram.Main.InstagramMain - [csrftoken]: DWHGRGHMUw5TjlCBg4p5nvpdNb7U54oP
2022-08-16 15:07:21,515 [12] INFO Instagram.Main.InstagramMain - [ds_user_id]: 54598235879
2022-08-16 15:07:21,515 [12] INFO Instagram.Main.InstagramMain - [sessionid]: 54598235879%3AGnPw6pGNk4cHDE%3A15%3AAYet-7wpuiMrPMYR8L0vgdM0g2UEppIwPZt91TmWIw
2022-08-16 15:07:35,364 [12] INFO Instagram.Main.InstagramMain - [rur]: "PRN\05454598235879\0541692165820:01f7fed8c05c4a55717a3af070a1b38b23ea9d77498ae8fcd34b0e30e721942fa4433435"
2022-08-16 15:31:28,357 [9] INFO Utils.DB.ConnectDB - [DB CONNECTED]
2022-08-16 15:31:28,363 [9] INFO WindowsFormsApplication1.StartPoint - [Started Application]
2022-08-16 15:31:32,656 [12] INFO Instagram.Main.InstagramMain - [start] instagram
2022-08-16 15:31:32,798 [12] INFO Instagram.Main.InstagramMain - [mid]: YvRhqgALAAE5ZpODXEyw15-1WdTS
2022-08-16 15:31:32,798 [12] INFO Instagram.Main.InstagramMain - [ig_did]: D9805394-4F37-49DB-A468-6C2940B4CC54
2022-08-16 15:31:32,798 [12] INFO Instagram.Main.InstagramMain - [ig_nrcb]: 1
2022-08-16 15:31:32,798 [12] INFO Instagram.Main.InstagramMain - [csrftoken]: DWHGRGHMUw5TjlCBg4p5nvpdNb7U54oP
2022-08-16 15:31:32,798 [12] INFO Instagram.Main.InstagramMain - [ds_user_id]: 54598235879
2022-08-16 15:31:32,798 [12] INFO Instagram.Main.InstagramMain - [sessionid]: 54598235879%3AGnPw6pGNk4cHDE%3A15%3AAYet-7wpuiMrPMYR8L0vgdM0g2UEppIwPZt91TmWIw
2022-08-16 15:31:32,798 [12] INFO Instagram.Main.InstagramMain - [rur]: "PRN\05454598235879\0541692167472:01f729144e42a7cbd4e287c373233062c4463ba735a406756fb05808bbfe1b8f3ddfddcc"
